name,TP,FP,FN,precision,recall,mse
mtcnn_all/Liv_Tyler_3,1.0,0.0,0.0,1.0,1.0,7.5245
mtcnn_all/Liv_Tyler_5,1.0,0.0,0.0,1.0,1.0,4.3451
mtcnn_all/Li_Zhaoxing_0,0.9773,0.0,0.0227,0.9773,0.9773,2.6449
mtcnn_all/Li_Zhaoxing_3,1.0,0.1127,0.0,0.9484,1.0,400.9619
mtcnn_all/Li_Zhaoxing_4,0.8955,0.0,0.1045,0.8955,0.8955,4.0131
mtcnn_all/Loretta_Lynn_Harper_0,1.0,0.0042,0.0,0.9979,1.0,4.6995
mtcnn_all/Loretta_Lynn_Harper_3,1.0,0.0,0.0,1.0,1.0,7.9301
mtcnn_all/Loretta_Lynn_Harper_4,1.0,0.0,0.0,1.0,1.0,9.4205
mtcnn_all/Loretta_Lynn_Harper_5,0.9524,0.0,0.0476,0.9524,0.9524,7.4087
mtcnn_all/Lorraine_Bracco_0,1.0,0.0,0.0,1.0,1.0,3.8694
mtcnn_all/Lorraine_Bracco_5,1.0,0.0,0.0,1.0,1.0,3.5891
mtcnn_all/Louisa_Baileche_0,0.9792,0.0,0.0208,0.9792,0.9792,18.7745
mtcnn_all/Louisa_Baileche_1,1.0,0.0,0.0,1.0,1.0,5.0504
mtcnn_all/Louisa_Baileche_2,0.597,0.0149,0.403,0.5896,0.597,73.0858
mtcnn_all/Louis_Van_Gaal_0,1.0,0.0,0.0,1.0,1.0,13.3231
mtcnn_all/Louis_Van_Gaal_1,1.0,0.0,0.0,1.0,1.0,6.1026
mtcnn_all/Louis_Van_Gaal_4,1.0,0.0233,0.0,0.9884,1.0,27.4855
mtcnn_all/Lou_Lang_0,1.0,0.0083,0.0,0.9958,1.0,42.9943
mtcnn_all/Lou_Lang_5,1.0,0.0,0.0,1.0,1.0,8.3363
mtcnn_all/Lubomir_Zaoralek_2,1.0,0.0,0.0,1.0,1.0,20.2075
mtcnn_all/Lubomir_Zaoralek_5,0.9667,0.0,0.0333,0.9667,0.9667,19.4401
mtcnn_all/Lucia_Kenny_Anthony_0,1.0,0.0,0.0,1.0,1.0,13.6489
mtcnn_all/Lucia_Kenny_Anthony_1,1.0,0.0213,0.0,0.9894,1.0,120.3856
mtcnn_all/Lucia_Kenny_Anthony_4,1.0,0.0,0.0,1.0,1.0,12.0291
mtcnn_all/Lucia_Kenny_Anthony_5,1.0,0.0,0.0,1.0,1.0,4.9601
mtcnn_all/Lucio_Stanca_0,1.0,0.0,0.0,1.0,1.0,4.6577
mtcnn_all/Lucio_Stanca_2,0.7208,0.0,0.2792,0.7208,0.7208,3.4427
mtcnn_all/Lucio_Stanca_3,1.0,0.0,0.0,1.0,1.0,6.9161
mtcnn_all/Lucio_Stanca_4,1.0,0.0,0.0,1.0,1.0,3.0786
mtcnn_all/Luc_Montagnier_2,1.0,0.2208,0.0,0.8924,1.0,953.1476
mtcnn_all/Luc_Montagnier_4,1.0,0.0042,0.0,0.9979,1.0,6.5464
mtcnn_all/Luc_Montagnier_5,1.0,0.0,0.0,1.0,1.0,12.8017
mtcnn_all/Ludivine_Sagnier_0,1.0,0.0,0.0,1.0,1.0,15.5303
mtcnn_all/Ludivine_Sagnier_3,0.7838,0.0,0.2162,0.7838,0.7838,4.7894
mtcnn_all/Luis_Ernesto_Derbez_Bautista_0,0.7627,0.0,0.2373,0.7627,0.7627,2.2945
mtcnn_all/Luis_Ernesto_Derbez_Bautista_1,1.0,0.0,0.0,1.0,1.0,4.451
