name,TP,FP,FN,precision,recall
viola_all/Marc_Shaiman_3,1.0,0.0,0.0,1.0,1.0
viola_all/Margaret_Thatcher_1,1.0,0.3108,0.0,0.8446,1.0
viola_all/Margaret_Thatcher_3,1.0,0.0167,0.0,0.9917,1.0
viola_all/Margaret_Thatcher_4,1.0,0.0,0.0,1.0,1.0
viola_all/Margaret_Thatcher_5,0.9333,0.0,0.0667,0.9333,0.9333
viola_all/Mariana_Ohata_0,1.0,0.0,0.0,1.0,1.0
viola_all/Mariana_Ohata_2,1.0,0.0,0.0,1.0,1.0
viola_all/Mariana_Ohata_3,1.0,0.0631,0.0,0.9685,1.0
viola_all/Maria_Bello_1,1.0,0.8626,0.0,0.5687,1.0
viola_all/Maria_Bello_2,1.0,0.0,0.0,1.0,1.0
viola_all/Maria_Bello_3,1.0,0.0238,0.0,0.9881,1.0
viola_all/Maria_Bello_4,1.0,0.3719,0.0,0.8141,1.0
viola_all/Maria_Bello_5,1.0,0.101,0.0,0.9495,1.0
viola_all/Maria_Callas_1,1.0,0.0,0.0,1.0,1.0
viola_all/Maria_Callas_2,1.0,0.0,0.0,1.0,1.0
viola_all/Maria_Guida_0,1.0,0.0667,0.0,0.9691,1.0
viola_all/Maria_Guida_3,1.0,0.0,0.0,1.0,1.0
viola_all/Maria_Shriver_0,1.0,0.1667,0.0,0.9167,1.0
viola_all/Maria_Shriver_4,1.0,0.0202,0.0,0.9899,1.0
viola_all/Maria_Soledad_Alvear_Valenzuela_1,1.0,0.0448,0.0,0.9776,1.0
viola_all/Maria_Soledad_Alvear_Valenzuela_3,1.0,0.0,0.0,1.0,1.0
viola_all/Maria_Soledad_Alvear_Valenzuela_4,1.0,0.1796,0.0,0.9122,1.0
viola_all/Marie-Josee_Croze_3,1.0,0.0,0.0,1.0,1.0
viola_all/Marie-Josee_Croze_4,1.0,0.0125,0.0,0.9938,1.0
viola_all/Marieta_Chrousala_0,1.0,0.0114,0.0,0.9943,1.0
viola_all/Marieta_Chrousala_1,1.0,0.3361,0.0,0.8319,1.0
viola_all/Marieta_Chrousala_4,1.0,0.0,0.0,1.0,1.0
viola_all/Marina_Silva_1,1.0,0.3273,0.0,0.8545,1.0
viola_all/Marina_Silva_2,1.0,0.1583,0.0,0.9222,1.0
viola_all/Marina_Silva_4,1.0,0.0,0.0,1.0,1.0
viola_all/Marina_Silva_5,1.0,0.0,0.0,1.0,1.0
viola_all/Mario_Cipollini_1,1.0,0.0,0.0,1.0,1.0
viola_all/Mario_Cipollini_5,1.0,0.0,0.0,1.0,1.0
viola_all/Mario_Dumont_0,1.0,0.0,0.0,1.0,1.0
viola_all/Mario_Dumont_2,1.0,0.0,0.0,1.0,1.0
